,0
Amount_Requested,0.3019802338968463
Loan_Length,0.3863407490580593
Debt_To_Income_Ratio,0.1787723279007827
Monthly_Income,0.014238899924811477
Open_CREDIT_Lines,0.06832977247634311
Revolving_CREDIT_Balance,0.07979680808192473
Inquiries_in_the_Last_6_Months,0.17742640174065816
Employment_Length,0.03603104853159024
FICO_avg,-0.7441945437420363
Loan_Purpose_credit_card,0.0050545638959214115
Loan_Purpose_debt_consolidation,0.13355713062508445
Loan_Purpose_educational,-0.03667632743774416
Loan_Purpose_home_improvement,-0.09773289891719021
Loan_Purpose_house,0.0031780589182381098
Loan_Purpose_major_purchase,-0.11181240747376325
Loan_Purpose_medical,-0.045234791125000735
Loan_Purpose_moving,0.009556040060178204
Loan_Purpose_other,0.007842964608040322
Loan_Purpose_renewable_energy,-0.03153356465816496
Loan_Purpose_small_business,-0.01129493269755874
Loan_Purpose_vacation,-0.02511103885594203
Loan_Purpose_wedding,-0.02659330185215503
Home_Ownership_NONE,-0.030305517511395236
Home_Ownership_OTHER,0.03242358958944253
Home_Ownership_OWN,-0.013730416731791121
Home_Ownership_RENT,0.08600329472245816
ln_Interest_Rate,0.9999999999999999
