,Feature,F_value,P_Value
3,FICO_avg,3100.706573356166,0.0
9,Loan_Length,438.2644001333423,8.549505008935642e-90
0,Amount_Requested,250.65556805637667,7.129766091516228e-54
1,Debt_To_Income_Ratio,82.4706690441077,2.1216755999552719e-19
8,Inquiries_in_the_Last_6_Months,81.19333645777402,3.9669252971882437e-19
11,Loan_Purpose_debt_consolidation,45.367332963427344,2.0199600725991593e-11
15,Loan_Purpose_major_purchase,31.625413510944956,2.0776370125122058e-08
13,Loan_Purpose_home_improvement,24.090299168906263,9.784422305959039e-07
7,Home_Ownership_RENT,18.61430557722276,1.6623751398823015e-05
25,Revolving_CREDIT_Balance,16.008022964753003,6.490883280806449e-05
24,Open_CREDIT_Lines,11.717766357771348,0.0006290346431145731
16,Loan_Purpose_medical,5.121853714695527,0.02371185496866318
12,Loan_Purpose_educational,3.3647182406293537,0.06672585572380818
2,Employment_Length,3.247210319622536,0.07166564445361087
5,Home_Ownership_OTHER,2.62888404364066,0.10506164784712593
19,Loan_Purpose_renewable_energy,2.4863979075224925,0.11496089959614852
4,Home_Ownership_NONE,2.296333138666312,0.12980634456962348
22,Loan_Purpose_wedding,1.767845077678756,0.1837703941085443
21,Loan_Purpose_vacation,1.5761434122407068,0.20943450273775135
23,Monthly_Income,0.5065628888665803,0.47669701249638097
6,Home_Ownership_OWN,0.47102260961268166,0.49258079242134767
20,Loan_Purpose_small_business,0.3187242720065146,0.5724260098218186
17,Loan_Purpose_moving,0.22813295089843091,0.6329534752177196
18,Loan_Purpose_other,0.15366666277792526,0.695089144184006
10,Loan_Purpose_credit_card,0.06382207377818813,0.8005746907195533
14,Loan_Purpose_house,0.025230200929011078,0.8738076362976065
