,feature,rank
0,Amount_Requested,1
23,Monthly_Income,1
24,Open_CREDIT_Lines,1
9,Loan_Length,1
8,Inquiries_in_the_Last_6_Months,1
7,Home_Ownership_RENT,1
25,Revolving_CREDIT_Balance,1
1,Debt_To_Income_Ratio,1
3,FICO_avg,1
2,Employment_Length,1
18,Loan_Purpose_other,2
11,Loan_Purpose_debt_consolidation,3
20,Loan_Purpose_small_business,4
10,Loan_Purpose_credit_card,5
13,Loan_Purpose_home_improvement,6
17,Loan_Purpose_moving,7
6,Home_Ownership_OWN,8
15,Loan_Purpose_major_purchase,9
22,Loan_Purpose_wedding,10
21,Loan_Purpose_vacation,11
14,Loan_Purpose_house,12
12,Loan_Purpose_educational,13
16,Loan_Purpose_medical,14
19,Loan_Purpose_renewable_energy,15
4,Home_Ownership_NONE,16
5,Home_Ownership_OTHER,17
